     50  lim, limit on number of iterations
 100.00  h1,  thickness of negative electrode (microns)
  25.00  h2,  thickness of separator (microns)
 100.00  h3,  thickness of positive electrode (microns)
  25.00  hcn, thickness of negative electrode current collector (microns)
  25.00  hcp, thickness of positive electrode current collector (microns)
     80  n1,  number of nodes in negative electrode
     40  n2,  number of nodes in separator
     80  n3,  number of nodes in positive electrode
 278.00  T,   temperature (K)

 1000.0  xx(1,n1+2), initial concentration (mol/m3)
 0.6000  csx,   initial stoichiometric parameter for negative
 0.5000  csy,   initial stoichiometric parameter for positive
   30.0  tmmax, maximum time step size (s)
 .4E-13  dfs1, diffusion coefficient in negative solid (m2/s)
 .1E-12  dfs3, diffusion coefficient in positive solid (m2/s)
  10.00  Rad1,  radius of negative particles (microns)
  10.00  Rad3,  radius of positive particles (microns)

  0.300  ep1,   volume fraction of electrolyte in negative electrode
  0.000  epp1,  volume fraction of polymer phase in negative electrode
  0.100  epf1,  volume fraction of inert filler in negative electrode
  1.000  ep2,   volume fraction of electrolyte in separator
  0.000  epp2,  volume fraction of polymer phase in separator
  0.300  ep3,   volume fraction of electrolyte in positive electrode
  0.000  epp3,  volume fraction of polymer phase in positive electrode
  0.200  epf3,  volume fraction of inert filler in positive electrode
 0.10E+03  sig1,  conductivity of negative matrix (S/m)
  10.      sig3,  conductivity of positive matrix (S/m)
  372.00  cot1,  coulombic capacity of negative material (mAh/g)
  274.00  cot3,  coulombic capacity of positive material (mAh/g)
 .1E-04  rka1,  reaction rate constant for negative reaction 
 .3E-10  rka3,  reaction rate constant for positive reaction

 1324.0  re,   density of electrolyte (kg/m3)
 1800.0  rs1,  density of negative insertion material (kg/m3)
 5010.0  rs3,  density of positive insertion material (kg/m3)
 1800.0  rf,   density of inert filler (kg/m3)
 1780.0  rpl,  density of polymer phase (kg/m3)
    0.0  rc,   density of separator material (kg/m3)
 8954.0  rcn,  density of negative current collector (kg/m3)
 2707.0  rcp,  density of positive current collector (kg/m3)

   0.001000  ranode,   anode film resistance (ohm-m2)
   0.000000  rcathde,  cathode film resistance (ohm-m2)
   0.00  htc,   heat-transfer coefficient with external medium (W/m2K)
   0.000000  dUdT,  temperature coefficient of EMF (V/K)
 2000.0  Cp,    heat capacity of cell (J/kg-K)
   0.00  residm,    residual mass (kg/m2)
 298.00  Tam,   ambient temperature (K)
      1  ncell, number of cells in a cell stack
      2  lht,   0 uses htc,  1 calcs htc,  2 isothermal

      0    nside, side reaction flag 

      1  il1,   1 for long print-out  0 for short print-out
     10  il2,   prints every il2 th node in long print-out
     10  il3,   prints every il3 th time step in long print-out
      1  lflag, 0 for electrolyte in separator only, 1 for uniform
      0  imp, 0 for no impedance, 1 for impedance
   0.00  capp1,  capacitance of negative material (F/m2)
   0.00  capp3,  capacitance of positive material (F/m2)
      1  lcurs, number of current changes
  
 MCMB 2528 Graphite (Bellcore)
 LiPF6 in EC:DMC
 LiCoO2 (Cobalt dioxide)
 open-circuit potential, negative   0.178978294
 delta S negative   0.
 open-circuit potential, positive   4.24165195
 delta S positive   0.
  
      DUAL INSERTION CELL VERSION 5.1
  
   Time     Util N  Util P  Cell Pot   Uocp      Curr      Temp   heatgen
   (min)       x       y      (V)       (V)      (A/m2)    (C)    (W/m2)
  
    0.000, 0.6000, 0.5000,  4.03529,  4.06267,    10.00,   4.85,   0.27, 
    0.001, 0.6000, 0.5000,  4.03525,  4.06267,    10.00,   4.85,   0.27, 
    0.001, 0.6000, 0.5000,  4.03522,  4.06267,    10.00,   4.85,   0.27, 
    0.001, 0.6000, 0.5000,  4.03519,  4.06267,    10.00,   4.85,   0.27, 
    0.002, 0.6000, 0.5000,  4.03517,  4.06267,    10.00,   4.85,   0.28, 
    0.002, 0.6000, 0.5000,  4.03514,  4.06267,    10.00,   4.85,   0.28, 
    0.003, 0.6000, 0.5000,  4.03512,  4.06267,    10.00,   4.85,   0.28, 
    0.003, 0.6000, 0.5000,  4.03509,  4.06267,    10.00,   4.85,   0.28, 
    0.004, 0.6000, 0.5000,  4.03506,  4.06266,    10.00,   4.85,   0.28, 
    0.005, 0.6000, 0.5000,  4.03503,  4.06266,    10.00,   4.85,   0.28, 
    0.006, 0.6000, 0.5000,  4.03501,  4.06266,    10.00,   4.85,   0.28, 
    0.007, 0.6000, 0.5000,  4.03498,  4.06266,    10.00,   4.85,   0.28, 
    0.007, 0.6000, 0.5000,  4.03495,  4.06266,    10.00,   4.85,   0.28, 
    0.009, 0.6000, 0.5000,  4.03491,  4.06265,    10.00,   4.85,   0.28, 
    0.010, 0.6000, 0.5000,  4.03488,  4.06265,    10.00,   4.85,   0.28, 
    0.011, 0.6000, 0.5000,  4.03484,  4.06265,    10.00,   4.85,   0.28, 
    0.012, 0.5999, 0.5000,  4.03481,  4.06264,    10.00,   4.85,   0.28, 
    0.014, 0.5999, 0.5000,  4.03477,  4.06264,    10.00,   4.85,   0.28, 
    0.016, 0.5999, 0.5000,  4.03473,  4.06264,    10.00,   4.85,   0.28, 
    0.017, 0.5999, 0.5000,  4.03468,  4.06263,    10.00,   4.85,   0.28, 
    0.019, 0.5999, 0.5000,  4.03464,  4.06263,    10.00,   4.85,   0.28, 
    0.022, 0.5999, 0.5001,  4.03459,  4.06262,    10.00,   4.85,   0.28, 
    0.024, 0.5999, 0.5001,  4.03454,  4.06262,    10.00,   4.85,   0.28, 
    0.027, 0.5999, 0.5001,  4.03448,  4.06261,    10.00,   4.85,   0.28, 
    0.030, 0.5999, 0.5001,  4.03442,  4.06260,    10.00,   4.85,   0.28, 
    0.033, 0.5999, 0.5001,  4.03436,  4.06260,    10.00,   4.85,   0.28, 
    0.037, 0.5998, 0.5001,  4.03430,  4.06259,    10.00,   4.85,   0.28, 
    0.041, 0.5998, 0.5001,  4.03423,  4.06258,    10.00,   4.85,   0.28, 
    0.045, 0.5998, 0.5001,  4.03416,  4.06257,    10.00,   4.85,   0.28, 
    0.050, 0.5998, 0.5001,  4.03408,  4.06256,    10.00,   4.85,   0.28, 
    0.055, 0.5998, 0.5001,  4.03399,  4.06255,    10.00,   4.85,   0.29, 
    0.061, 0.5997, 0.5001,  4.03391,  4.06253,    10.00,   4.85,   0.29, 
    0.067, 0.5997, 0.5002,  4.03381,  4.06252,    10.00,   4.85,   0.29, 
    0.074, 0.5997, 0.5002,  4.03372,  4.06250,    10.00,   4.85,   0.29, 
    0.082, 0.5997, 0.5002,  4.03361,  4.06248,    10.00,   4.85,   0.29, 
    0.091, 0.5996, 0.5002,  4.03350,  4.06246,    10.00,   4.85,   0.29, 
    0.100, 0.5996, 0.5002,  4.03338,  4.06244,    10.00,   4.85,   0.29, 
    0.110, 0.5995, 0.5003,  4.03326,  4.06242,    10.00,   4.85,   0.29, 
    0.122, 0.5995, 0.5003,  4.03312,  4.06239,    10.00,   4.85,   0.29, 
    0.134, 0.5994, 0.5003,  4.03298,  4.06236,    10.00,   4.85,   0.29, 
    0.148, 0.5994, 0.5004,  4.03283,  4.06233,    10.00,   4.85,   0.29, 
    0.163, 0.5993, 0.5004,  4.03267,  4.06230,    10.00,   4.85,   0.30, 
    0.180, 0.5993, 0.5004,  4.03251,  4.06226,    10.00,   4.85,   0.30, 
    0.198, 0.5992, 0.5005,  4.03233,  4.06222,    10.00,   4.85,   0.30, 
    0.218, 0.5991, 0.5005,  4.03214,  4.06217,    10.00,   4.85,   0.30, 
    0.240, 0.5990, 0.5006,  4.03193,  4.06212,    10.00,   4.85,   0.30, 
    0.264, 0.5989, 0.5006,  4.03172,  4.06206,    10.00,   4.85,   0.30, 
    0.291, 0.5988, 0.5007,  4.03149,  4.06200,    10.00,   4.85,   0.30, 
    0.320, 0.5987, 0.5008,  4.03125,  4.06193,    10.00,   4.85,   0.31, 
    0.353, 0.5985, 0.5009,  4.03100,  4.06186,    10.00,   4.85,   0.31, 
    0.388, 0.5984, 0.5009,  4.03073,  4.06178,    10.00,   4.85,   0.31, 
    0.427, 0.5982, 0.5010,  4.03044,  4.06169,    10.00,   4.85,   0.31, 
    0.470, 0.5980, 0.5011,  4.03013,  4.06159,    10.00,   4.85,   0.31, 
    0.518, 0.5979, 0.5013,  4.02981,  4.06148,    10.00,   4.85,   0.32, 
    0.570, 0.5976, 0.5014,  4.02947,  4.06136,    10.00,   4.85,   0.32, 
    0.627, 0.5974, 0.5015,  4.02911,  4.06123,    10.00,   4.85,   0.32, 
    0.690, 0.5971, 0.5017,  4.02873,  4.06109,    10.00,   4.85,   0.32, 
    0.760, 0.5968, 0.5018,  4.02833,  4.06094,    10.00,   4.85,   0.33, 
    0.836, 0.5965, 0.5020,  4.02791,  4.06077,    10.00,   4.85,   0.33, 
    0.920, 0.5962, 0.5022,  4.02747,  4.06058,    10.00,   4.85,   0.33, 
    1.012, 0.5958, 0.5025,  4.02700,  4.06037,    10.00,   4.85,   0.33, 
    1.113, 0.5954, 0.5027,  4.02651,  4.06015,    10.00,   4.85,   0.34, 
    1.225, 0.5949, 0.5030,  4.02600,  4.05990,    10.00,   4.85,   0.34, 
    1.348, 0.5944, 0.5033,  4.02547,  4.05963,    10.00,   4.85,   0.34, 
    1.483, 0.5938, 0.5036,  4.02491,  4.05934,    10.00,   4.85,   0.34, 
    1.632, 0.5932, 0.5040,  4.02432,  4.05902,    10.00,   4.85,   0.35, 
    1.795, 0.5926, 0.5044,  4.02371,  4.05867,    10.00,   4.85,   0.35, 
    1.975, 0.5918, 0.5048,  4.02307,  4.05829,    10.00,   4.85,   0.35, 
    2.173, 0.5910, 0.5053,  4.02239,  4.05787,    10.00,   4.85,   0.35, 
    2.390, 0.5901, 0.5058,  4.02167,  4.05741,    10.00,   4.85,   0.35, 
    2.629, 0.5891, 0.5064,  4.02091,  4.05692,    10.00,   4.85,   0.36, 
    2.893, 0.5880, 0.5070,  4.02009,  4.05638,    10.00,   4.85,   0.36, 
    3.182, 0.5868, 0.5077,  4.01921,  4.05579,    10.00,   4.85,   0.36, 
    3.501, 0.5855, 0.5085,  4.01825,  4.05514,    10.00,   4.85,   0.37, 
    3.851, 0.5840, 0.5094,  4.01717,  4.05444,    10.00,   4.85,   0.37, 
    4.237, 0.5824, 0.5103,  4.01595,  4.05366,    10.00,   4.85,   0.37, 
    4.661, 0.5807, 0.5113,  4.01453,  4.05279,    10.00,   4.85,   0.38, 
    5.127, 0.5787, 0.5124,  4.01283,  4.05180,    10.00,   4.85,   0.38, 
    5.640, 0.5766, 0.5137,  4.01072,  4.05064,    10.00,   4.85,   0.39, 
    6.153, 0.5745, 0.5149,  4.00831,  4.04936,    10.00,   4.85,   0.40, 
    6.666, 0.5723, 0.5162,  4.00551,  4.04788,    10.00,   4.85,   0.42, 
    7.179, 0.5702, 0.5174,  4.00225,  4.04612,    10.00,   4.85,   0.43, 
    7.692, 0.5681, 0.5187,  3.99847,  4.04395,    10.00,   4.85,   0.45, 
    8.205, 0.5660, 0.5199,  3.99413,  4.04124,    10.00,   4.85,   0.46, 
    8.718, 0.5638, 0.5212,  3.98934,  4.03789,    10.00,   4.85,   0.48, 
    9.231, 0.5617, 0.5224,  3.98428,  4.03386,    10.00,   4.85,   0.49, 
    9.744, 0.5596, 0.5237,  3.97928,  4.02924,    10.00,   4.85,   0.49, 
   10.257, 0.5574, 0.5249,  3.97466,  4.02424,    10.00,   4.85,   0.49, 
   10.770, 0.5553, 0.5262,  3.97064,  4.01924,    10.00,   4.85,   0.48, 
   11.283, 0.5532, 0.5274,  3.96728,  4.01457,    10.00,   4.85,   0.47, 
