  Time (min)    V neg      V pos       Cur (A/m2)    Temp (C)   Heat Gen (W/m3)
   0.000000    0.178978    4.241652      0.0000     24.850000   0.0000000E+00
   0.000333    0.178978    4.241652      0.0000     24.850000   0.0000000E+00
   0.000667    0.178978    4.241652      0.0000     24.850000   0.0000000E+00
   0.001033    0.178978    4.241652      0.0000     24.850000   0.0000000E+00
   0.001437    0.178978    4.241652      0.0000     24.850000   0.0000000E+00
   0.001880    0.178978    4.241652      0.0000     24.850000   0.0000000E+00
   0.002368    0.178978    4.241652      0.0000     24.850000   0.0000000E+00
   0.002905    0.178978    4.241652      0.0000     24.850000   0.0000000E+00
   0.003496    0.178978    4.241652      0.0000     24.850000   0.0000000E+00
   0.004145    0.178978    4.241652      0.0000     24.850000   0.0000000E+00
   0.004860    0.178978    4.241652      0.0000     24.850000   0.0000000E+00
   0.005646    0.178978    4.241652      0.0000     24.850000   0.0000000E+00
   0.006510    0.178978    4.241652      0.0000     24.850000   0.0000000E+00
   0.007461    0.178978    4.241652      0.0000     24.850000   0.0000000E+00
   0.008508    0.178978    4.241652      0.0000     24.850000   0.0000000E+00
   0.009658    0.178978    4.241652      0.0000     24.850000   0.0000000E+00
   0.010924    0.178978    4.241652      0.0000     24.850000   0.0000000E+00
   0.012317    0.178978    4.241652      0.0000     24.850000   0.0000000E+00
   0.013848    0.178978    4.241652      0.0000     24.850000   0.0000000E+00
   0.015533    0.178978    4.241652      0.0000     24.850000   0.0000000E+00
   0.017386    0.178978    4.241652      0.0000     24.850000   0.0000000E+00
   0.019425    0.178978    4.241652      0.0000     24.850000   0.0000000E+00
   0.021667    0.178978    4.241652      0.0000     24.850000   0.0000000E+00
   0.024134    0.178978    4.241652      0.0000     24.850000   0.0000000E+00
   0.026848    0.178978    4.241652      0.0000     24.850000   0.0000000E+00
   0.029832    0.178978    4.241652      0.0000     24.850000   0.0000000E+00
   0.033116    0.178978    4.241652      0.0000     24.850000   0.0000000E+00
   0.036727    0.178978    4.241652      0.0000     24.850000   0.0000000E+00
   0.040700    0.178978    4.241652      0.0000     24.850000   0.0000000E+00
   0.045070    0.178978    4.241652      0.0000     24.850000   0.0000000E+00
   0.049877    0.178978    4.241652      0.0000     24.850000   0.0000000E+00
   0.055165    0.178978    4.241652      0.0000     24.850000   0.0000000E+00
   0.060981    0.178978    4.241652      0.0000     24.850000   0.0000000E+00
   0.067379    0.178978    4.241652      0.0000     24.850000   0.0000000E+00
   0.074417    0.178978    4.241652      0.0000     24.850000   0.0000000E+00
   0.082159    0.178978    4.241652      0.0000     24.850000   0.0000000E+00
   0.090675    0.178978    4.241652      0.0000     24.850000   0.0000000E+00
   0.100042    0.178978    4.241652      0.0000     24.850000   0.0000000E+00
   0.110346    0.178978    4.241652      0.0000     24.850000   0.0000000E+00
   0.121681    0.178978    4.241652      0.0000     24.850000   0.0000000E+00
   0.134149    0.178978    4.241652      0.0000     24.850000   0.0000000E+00
   0.147864    0.178978    4.241652      0.0000     24.850000   0.0000000E+00
   0.162951    0.178978    4.241652      0.0000     24.850000   0.0000000E+00
   0.179546    0.178978    4.241652      0.0000     24.850000   0.0000000E+00
   0.197800    0.178978    4.241652      0.0000     24.850000   0.0000000E+00
   0.217880    0.178978    4.241652      0.0000     24.850000   0.0000000E+00
   0.239968    0.178978    4.241652      0.0000     24.850000   0.0000000E+00
   0.264265    0.178978    4.241652      0.0000     24.850000   0.0000000E+00
   0.290992    0.178978    4.241652      0.0000     24.850000   0.0000000E+00
   0.320391    0.178978    4.241652      0.0000     24.850000   0.0000000E+00
   0.352730    0.178978    4.241652      0.0000     24.850000   0.0000000E+00
   0.388303    0.178978    4.241652      0.0000     24.850000   0.0000000E+00
   0.427433    0.178978    4.241652      0.0000     24.850000   0.0000000E+00
   0.470476    0.178978    4.241652      0.0000     24.850000   0.0000000E+00
   0.517824    0.178978    4.241652      0.0000     24.850000   0.0000000E+00
   0.569906    0.178978    4.241652      0.0000     24.850000   0.0000000E+00
   0.627197    0.178978    4.241652      0.0000     24.850000   0.0000000E+00
   0.690217    0.178978    4.241652      0.0000     24.850000   0.0000000E+00
   0.759539    0.178978    4.241652      0.0000     24.850000   0.0000000E+00
   0.835792    0.178978    4.241652      0.0000     24.850000   0.0000000E+00
   0.919672    0.178978    4.241652      0.0000     24.850000   0.0000000E+00
   1.000000    0.178978    4.241652      0.0000     24.850000   0.0000000E+00
   1.000000    0.197765    4.164306    100.0000     24.850000   4.2725358E+04
   1.000000    0.197765    4.164306    100.0000     24.850000   4.2725358E+04
   1.000333    0.197820    4.163760    100.0000     24.850000   4.2989204E+04
   1.000700    0.197864    4.163408    100.0000     24.850000   4.3161071E+04
   1.001103    0.197905    4.163119    100.0000     24.850000   4.3303521E+04
   1.001547    0.197945    4.162857    100.0000     24.850000   4.3433045E+04
   1.002035    0.197986    4.162608    100.0000     24.850000   4.3556456E+04
   1.002572    0.198028    4.162365    100.0000     24.850000   4.3677258E+04
   1.003162    0.198071    4.162123    100.0000     24.850000   4.3797618E+04
   1.003812    0.198117    4.161880    100.0000     24.850000   4.3918990E+04
   1.004526    0.198165    4.161633    100.0000     24.850000   4.4042486E+04
   1.005312    0.198215    4.161380    100.0000     24.850000   4.4168978E+04
   1.006177    0.198269    4.161119    100.0000     24.850000   4.4299231E+04
   1.007128    0.198326    4.160850    100.0000     24.850000   4.4433909E+04
   1.008174    0.198386    4.160571    100.0000     24.850000   4.4573648E+04
   1.009325    0.198451    4.160281    100.0000     24.850000   4.4719048E+04
   1.010591    0.198520    4.159978    100.0000     24.850000   4.4870712E+04
   1.011983    0.198594    4.159662    100.0000     24.850000   4.5029242E+04
   1.013515    0.198674    4.159331    100.0000     24.850000   4.5195270E+04
   1.015200    0.198760    4.158985    100.0000     24.850000   4.5369449E+04
   1.017053    0.198852    4.158621    100.0000     24.850000   4.5552486E+04
   1.019092    0.198952    4.158239    100.0000     24.850000   4.5745134E+04
   1.021334    0.199061    4.157837    100.0000     24.850000   4.5948224E+04
   1.023801    0.199180    4.157413    100.0000     24.850000   4.6162663E+04
   1.026514    0.199309    4.156968    100.0000     24.850000   4.6389464E+04
   1.029499    0.199451    4.156498    100.0000     24.850000   4.6629749E+04
   1.032782    0.199607    4.156001    100.0000     24.850000   4.6884781E+04
   1.036394    0.199778    4.155477    100.0000     24.850000   4.7155970E+04
   1.040367    0.199968    4.154922    100.0000     24.850000   4.7444911E+04
   1.044737    0.200178    4.154335    100.0000     24.850000   4.7753396E+04
   1.049544    0.200411    4.153711    100.0000     24.850000   4.8083469E+04
   1.054831    0.200670    4.153048    100.0000     24.850000   4.8437467E+04
   1.060648    0.200956    4.152341    100.0000     24.850000   4.8818121E+04
   1.067046    0.201273    4.151585    100.0000     24.850000   4.9228675E+04
   1.074084    0.201624    4.150771    100.0000     24.850000   4.9673087E+04
   1.081826    0.202011    4.149891    100.0000     24.850000   5.0156287E+04
   1.090341    0.202436    4.148931    100.0000     24.850000   5.0684527E+04
   1.099709    0.202904    4.147876    100.0000     24.850000   5.1265768E+04
   1.110013    0.203417    4.146704    100.0000     24.850000   5.1910082E+04
