     50  lim, limit on number of iterations
 100.00  h1,  thickness of negative electrode (microns)
  25.00  h2,  thickness of separator (microns)
 100.00  h3,  thickness of positive electrode (microns)
  25.00  hcn, thickness of negative electrode current collector (microns)
  25.00  hcp, thickness of positive electrode current collector (microns)
     80  n1,  number of nodes in negative electrode
     40  n2,  number of nodes in separator
     80  n3,  number of nodes in positive electrode
 263.00  T,   temperature (K)

 1000.0  xx(1,n1+2), initial concentration (mol/m3)
 0.6000  csx,   initial stoichiometric parameter for negative
 0.5000  csy,   initial stoichiometric parameter for positive
   30.0  tmmax, maximum time step size (s)
 .4E-13  dfs1, diffusion coefficient in negative solid (m2/s)
 .1E-12  dfs3, diffusion coefficient in positive solid (m2/s)
  10.00  Rad1,  radius of negative particles (microns)
  10.00  Rad3,  radius of positive particles (microns)

  0.300  ep1,   volume fraction of electrolyte in negative electrode
  0.000  epp1,  volume fraction of polymer phase in negative electrode
  0.100  epf1,  volume fraction of inert filler in negative electrode
  1.000  ep2,   volume fraction of electrolyte in separator
  0.000  epp2,  volume fraction of polymer phase in separator
  0.300  ep3,   volume fraction of electrolyte in positive electrode
  0.000  epp3,  volume fraction of polymer phase in positive electrode
  0.200  epf3,  volume fraction of inert filler in positive electrode
 0.10E+03  sig1,  conductivity of negative matrix (S/m)
  10.      sig3,  conductivity of positive matrix (S/m)
  372.00  cot1,  coulombic capacity of negative material (mAh/g)
  274.00  cot3,  coulombic capacity of positive material (mAh/g)
 .1E-04  rka1,  reaction rate constant for negative reaction 
 .3E-10  rka3,  reaction rate constant for positive reaction

 1324.0  re,   density of electrolyte (kg/m3)
 1800.0  rs1,  density of negative insertion material (kg/m3)
 5010.0  rs3,  density of positive insertion material (kg/m3)
 1800.0  rf,   density of inert filler (kg/m3)
 1780.0  rpl,  density of polymer phase (kg/m3)
    0.0  rc,   density of separator material (kg/m3)
 8954.0  rcn,  density of negative current collector (kg/m3)
 2707.0  rcp,  density of positive current collector (kg/m3)

   0.001000  ranode,   anode film resistance (ohm-m2)
   0.000000  rcathde,  cathode film resistance (ohm-m2)
   0.00  htc,   heat-transfer coefficient with external medium (W/m2K)
   0.000000  dUdT,  temperature coefficient of EMF (V/K)
 2000.0  Cp,    heat capacity of cell (J/kg-K)
   0.00  residm,    residual mass (kg/m2)
 298.00  Tam,   ambient temperature (K)
      1  ncell, number of cells in a cell stack
      2  lht,   0 uses htc,  1 calcs htc,  2 isothermal

      0    nside, side reaction flag 

      1  il1,   1 for long print-out  0 for short print-out
     10  il2,   prints every il2 th node in long print-out
     10  il3,   prints every il3 th time step in long print-out
      1  lflag, 0 for electrolyte in separator only, 1 for uniform
      0  imp, 0 for no impedance, 1 for impedance
   0.00  capp1,  capacitance of negative material (F/m2)
   0.00  capp3,  capacitance of positive material (F/m2)
      1  lcurs, number of current changes
  
 MCMB 2528 Graphite (Bellcore)
 LiPF6 in EC:DMC
 LiCoO2 (Cobalt dioxide)
 open-circuit potential, negative   0.178978294
 delta S negative   0.
 open-circuit potential, positive   4.24165195
 delta S positive   0.
  
      DUAL INSERTION CELL VERSION 5.1
  
   Time     Util N  Util P  Cell Pot   Uocp      Curr      Temp   heatgen
   (min)       x       y      (V)       (V)      (A/m2)    (C)    (W/m2)
  
    0.000, 0.6000, 0.5000,  4.00575,  4.06267,    10.00, -10.15,   0.57, 
    0.001, 0.6000, 0.5000,  4.00571,  4.06267,    10.00, -10.15,   0.57, 
    0.001, 0.6000, 0.5000,  4.00568,  4.06267,    10.00, -10.15,   0.57, 
    0.001, 0.6000, 0.5000,  4.00565,  4.06267,    10.00, -10.15,   0.57, 
    0.002, 0.6000, 0.5000,  4.00563,  4.06267,    10.00, -10.15,   0.57, 
    0.002, 0.6000, 0.5000,  4.00560,  4.06267,    10.00, -10.15,   0.57, 
    0.003, 0.6000, 0.5000,  4.00557,  4.06267,    10.00, -10.15,   0.57, 
    0.003, 0.6000, 0.5000,  4.00555,  4.06267,    10.00, -10.15,   0.57, 
    0.004, 0.6000, 0.5000,  4.00552,  4.06266,    10.00, -10.15,   0.57, 
    0.005, 0.6000, 0.5000,  4.00549,  4.06266,    10.00, -10.15,   0.57, 
    0.006, 0.6000, 0.5000,  4.00546,  4.06266,    10.00, -10.15,   0.57, 
    0.007, 0.6000, 0.5000,  4.00543,  4.06266,    10.00, -10.15,   0.57, 
    0.007, 0.6000, 0.5000,  4.00540,  4.06266,    10.00, -10.15,   0.57, 
    0.009, 0.6000, 0.5000,  4.00537,  4.06265,    10.00, -10.15,   0.57, 
    0.010, 0.6000, 0.5000,  4.00533,  4.06265,    10.00, -10.15,   0.57, 
    0.011, 0.6000, 0.5000,  4.00529,  4.06265,    10.00, -10.15,   0.57, 
    0.012, 0.5999, 0.5000,  4.00526,  4.06264,    10.00, -10.15,   0.57, 
    0.014, 0.5999, 0.5000,  4.00521,  4.06264,    10.00, -10.15,   0.57, 
    0.016, 0.5999, 0.5000,  4.00517,  4.06264,    10.00, -10.15,   0.57, 
    0.017, 0.5999, 0.5000,  4.00512,  4.06263,    10.00, -10.15,   0.58, 
    0.019, 0.5999, 0.5000,  4.00508,  4.06263,    10.00, -10.15,   0.58, 
    0.022, 0.5999, 0.5001,  4.00502,  4.06262,    10.00, -10.15,   0.58, 
    0.024, 0.5999, 0.5001,  4.00497,  4.06262,    10.00, -10.15,   0.58, 
    0.027, 0.5999, 0.5001,  4.00491,  4.06261,    10.00, -10.15,   0.58, 
    0.030, 0.5999, 0.5001,  4.00485,  4.06260,    10.00, -10.15,   0.58, 
    0.033, 0.5999, 0.5001,  4.00478,  4.06260,    10.00, -10.15,   0.58, 
    0.037, 0.5998, 0.5001,  4.00471,  4.06259,    10.00, -10.15,   0.58, 
    0.041, 0.5998, 0.5001,  4.00464,  4.06258,    10.00, -10.15,   0.58, 
    0.045, 0.5998, 0.5001,  4.00456,  4.06257,    10.00, -10.15,   0.58, 
    0.050, 0.5998, 0.5001,  4.00447,  4.06256,    10.00, -10.15,   0.58, 
    0.055, 0.5998, 0.5001,  4.00438,  4.06255,    10.00, -10.15,   0.58, 
    0.061, 0.5997, 0.5001,  4.00428,  4.06253,    10.00, -10.15,   0.58, 
    0.067, 0.5997, 0.5002,  4.00418,  4.06252,    10.00, -10.15,   0.58, 
    0.074, 0.5997, 0.5002,  4.00407,  4.06250,    10.00, -10.15,   0.58, 
    0.082, 0.5997, 0.5002,  4.00395,  4.06248,    10.00, -10.15,   0.59, 
    0.091, 0.5996, 0.5002,  4.00383,  4.06246,    10.00, -10.15,   0.59, 
    0.100, 0.5996, 0.5002,  4.00370,  4.06244,    10.00, -10.15,   0.59, 
    0.110, 0.5995, 0.5003,  4.00355,  4.06242,    10.00, -10.15,   0.59, 
    0.122, 0.5995, 0.5003,  4.00340,  4.06239,    10.00, -10.15,   0.59, 
    0.134, 0.5994, 0.5003,  4.00324,  4.06236,    10.00, -10.15,   0.59, 
    0.148, 0.5994, 0.5004,  4.00307,  4.06233,    10.00, -10.15,   0.59, 
    0.163, 0.5993, 0.5004,  4.00289,  4.06230,    10.00, -10.15,   0.59, 
    0.180, 0.5993, 0.5004,  4.00269,  4.06226,    10.00, -10.15,   0.60, 
    0.198, 0.5992, 0.5005,  4.00249,  4.06222,    10.00, -10.15,   0.60, 
    0.218, 0.5991, 0.5005,  4.00226,  4.06217,    10.00, -10.15,   0.60, 
    0.240, 0.5990, 0.5006,  4.00203,  4.06212,    10.00, -10.15,   0.60, 
    0.264, 0.5989, 0.5006,  4.00178,  4.06206,    10.00, -10.15,   0.60, 
    0.291, 0.5988, 0.5007,  4.00151,  4.06200,    10.00, -10.15,   0.60, 
    0.320, 0.5987, 0.5008,  4.00122,  4.06193,    10.00, -10.15,   0.61, 
    0.353, 0.5985, 0.5009,  4.00092,  4.06186,    10.00, -10.15,   0.61, 
    0.388, 0.5984, 0.5009,  4.00060,  4.06178,    10.00, -10.15,   0.61, 
    0.427, 0.5982, 0.5010,  4.00025,  4.06169,    10.00, -10.15,   0.61, 
    0.470, 0.5980, 0.5011,  3.99989,  4.06159,    10.00, -10.15,   0.62, 
    0.518, 0.5979, 0.5013,  3.99949,  4.06148,    10.00, -10.15,   0.62, 
    0.570, 0.5976, 0.5014,  3.99908,  4.06136,    10.00, -10.15,   0.62, 
    0.627, 0.5974, 0.5015,  3.99863,  4.06123,    10.00, -10.15,   0.63, 
    0.690, 0.5971, 0.5017,  3.99816,  4.06109,    10.00, -10.15,   0.63, 
    0.760, 0.5968, 0.5018,  3.99766,  4.06094,    10.00, -10.15,   0.63, 
    0.836, 0.5965, 0.5020,  3.99712,  4.06077,    10.00, -10.15,   0.64, 
    0.920, 0.5962, 0.5022,  3.99655,  4.06058,    10.00, -10.15,   0.64, 
    1.012, 0.5958, 0.5025,  3.99594,  4.06037,    10.00, -10.15,   0.64, 
    1.113, 0.5954, 0.5027,  3.99529,  4.06015,    10.00, -10.15,   0.65, 
    1.225, 0.5949, 0.5030,  3.99460,  4.05990,    10.00, -10.15,   0.65, 
    1.348, 0.5944, 0.5033,  3.99386,  4.05963,    10.00, -10.15,   0.66, 
    1.483, 0.5938, 0.5036,  3.99308,  4.05934,    10.00, -10.15,   0.66, 
    1.632, 0.5932, 0.5040,  3.99224,  4.05902,    10.00, -10.15,   0.67, 
    1.795, 0.5926, 0.5044,  3.99136,  4.05867,    10.00, -10.15,   0.67, 
    1.975, 0.5918, 0.5048,  3.99042,  4.05829,    10.00, -10.15,   0.68, 
    2.173, 0.5910, 0.5053,  3.98941,  4.05787,    10.00, -10.15,   0.68, 
    2.390, 0.5901, 0.5058,  3.98834,  4.05741,    10.00, -10.15,   0.69, 
    2.629, 0.5891, 0.5064,  3.98720,  4.05692,    10.00, -10.15,   0.69, 
    2.893, 0.5880, 0.5070,  3.98597,  4.05638,    10.00, -10.15,   0.70, 
    3.182, 0.5868, 0.5077,  3.98465,  4.05579,    10.00, -10.15,   0.71, 
    3.501, 0.5855, 0.5085,  3.98319,  4.05514,    10.00, -10.15,   0.71, 
    3.851, 0.5840, 0.5094,  3.98159,  4.05444,    10.00, -10.15,   0.72, 
    4.237, 0.5824, 0.5103,  3.97977,  4.05366,    10.00, -10.15,   0.73, 
    4.661, 0.5807, 0.5113,  3.97766,  4.05279,    10.00, -10.15,   0.74, 
    5.127, 0.5787, 0.5124,  3.97517,  4.05180,    10.00, -10.15,   0.76, 
    5.640, 0.5766, 0.5137,  3.97216,  4.05064,    10.00, -10.15,   0.77, 
    6.153, 0.5745, 0.5149,  3.96884,  4.04936,    10.00, -10.15,   0.79, 
    6.666, 0.5723, 0.5162,  3.96520,  4.04788,    10.00, -10.15,   0.81, 
    7.179, 0.5702, 0.5174,  3.96122,  4.04612,    10.00, -10.15,   0.83, 
    7.692, 0.5681, 0.5187,  3.95693,  4.04395,    10.00, -10.15,   0.84, 
    8.205, 0.5660, 0.5199,  3.95235,  4.04124,    10.00, -10.15,   0.86, 
    8.718, 0.5638, 0.5212,  3.94758,  4.03789,    10.00, -10.15,   0.87, 
    9.231, 0.5617, 0.5224,  3.94275,  4.03386,    10.00, -10.15,   0.88, 
    9.744, 0.5596, 0.5237,  3.93803,  4.02924,    10.00, -10.15,   0.89, 
   10.257, 0.5574, 0.5249,  3.93362,  4.02424,    10.00, -10.15,   0.89, 
   10.770, 0.5553, 0.5262,  3.92965,  4.01924,    10.00, -10.15,   0.88, 
   11.283, 0.5532, 0.5274,  3.92617,  4.01457,    10.00, -10.15,   0.87, 
   11.796, 0.5511, 0.5286,  3.92317,  4.01050,    10.00, -10.15,   0.87, 
   12.309, 0.5489, 0.5299,  3.92056,  4.00712,    10.00, -10.15,   0.86, 
   12.822, 0.5468, 0.5311,  3.91825,  4.00442,    10.00, -10.15,   0.85, 
   13.335, 0.5447, 0.5324,  3.91615,  4.00227,    10.00, -10.15,   0.85, 
   13.848, 0.5426, 0.5336,  3.91419,  4.00054,    10.00, -10.15,   0.85, 
   14.361, 0.5404, 0.5349,  3.91230,  3.99911,    10.00, -10.15,   0.85, 
   14.874, 0.5383, 0.5361,  3.91043,  3.99786,    10.00, -10.15,   0.85, 
   15.387, 0.5362, 0.5374,  3.90853,  3.99670,    10.00, -10.15,   0.86, 
   15.900, 0.5340, 0.5386,  3.90657,  3.99558,    10.00, -10.15,   0.86, 
   16.413, 0.5319, 0.5399,  3.90454,  3.99442,    10.00, -10.15,   0.87, 
   16.926, 0.5298, 0.5411,  3.90242,  3.99320,    10.00, -10.15,   0.88, 
   17.439, 0.5277, 0.5423,  3.90019,  3.99188,    10.00, -10.15,   0.88, 
   17.952, 0.5255, 0.5436,  3.89784,  3.99041,    10.00, -10.15,   0.89, 
   18.465, 0.5234, 0.5448,  3.89536,  3.98879,    10.00, -10.15,   0.90, 
   18.978, 0.5213, 0.5461,  3.89275,  3.98698,    10.00, -10.15,   0.91, 
   19.491, 0.5191, 0.5473,  3.89000,  3.98496,    10.00, -10.15,   0.92, 
   20.004, 0.5170, 0.5486,  3.88710,  3.98271,    10.00, -10.15,   0.92, 
   20.517, 0.5149, 0.5498,  3.88405,  3.98022,    10.00, -10.15,   0.93, 
   21.030, 0.5128, 0.5511,  3.88084,  3.97747,    10.00, -10.15,   0.94, 
   21.543, 0.5106, 0.5523,  3.87746,  3.97444,    10.00, -10.15,   0.95, 
   22.056, 0.5085, 0.5536,  3.87392,  3.97114,    10.00, -10.15,   0.95, 
   22.569, 0.5064, 0.5548,  3.87022,  3.96756,    10.00, -10.15,   0.96, 
